iter	Passed	Remaining
0	120	120539
1	121	60801
2	122	40807
3	123	30818
4	124	24819
5	125	20855
6	127	18053
7	128	15900
8	129	14214
9	130	12870
10	130	11768
11	131	10851
12	133	10111
13	134	9456
14	135	8878
15	137	8440
16	138	7990
17	139	7586
18	140	7276
19	141	6953
20	142	6662
21	143	6392
22	144	6144
23	145	5917
24	146	5708
25	147	5533
26	148	5356
27	149	5191
28	150	5036
29	151	4895
30	152	4762
31	153	4637
32	154	4528
33	155	4420
34	156	4314
35	157	4212
36	158	4115
37	158	4023
38	159	3939
39	160	3858
40	161	3786
41	162	3712
42	163	3641
43	164	3573
44	165	3509
45	166	3447
46	167	3387
47	168	3335
48	169	3284
49	170	3235
50	171	3187
51	172	3139
52	173	3093
53	174	3049
54	175	3007
55	176	2972
56	177	2931
57	178	2892
58	179	2855
59	179	2819
60	180	2784
61	181	2750
62	183	2725
63	184	2695
64	185	2669
65	186	2638
66	187	2608
67	188	2579
68	189	2551
69	190	2526
70	191	2500
71	191	2474
72	192	2449
73	193	2424
74	194	2399
75	195	2380
76	196	2360
77	198	2341
78	199	2320
79	199	2299
80	201	2280
81	202	2263
82	202	2240
83	203	2222
84	205	2215
85	206	2196
86	207	2178
87	208	2161
88	209	2143
89	210	2125
90	211	2108
91	212	2095
92	213	2082
93	214	2065
94	215	2049
95	216	2034
96	216	2019
97	217	2005
98	218	1991
99	220	1980
100	220	1966
101	221	1953
102	222	1940
103	223	1927
104	224	1914
105	225	1901
106	226	1889
107	227	1878
108	228	1868
109	229	1858
110	230	1846
111	231	1835
112	232	1823
113	233	1811
114	233	1800
115	235	1793
116	236	1781
117	236	1771
118	238	1762
119	239	1752
120	239	1742
121	240	1731
122	242	1726
123	243	1719
124	244	1710
125	245	1701
126	246	1692
127	247	1683
128	247	1674
129	248	1666
130	250	1658
131	250	1649
132	251	1640
133	252	1632
134	253	1623
135	254	1615
136	255	1607
137	256	1599
138	257	1593
139	258	1585
140	259	1578
141	259	1569
142	260	1562
143	261	1555
144	262	1547
145	263	1540
146	264	1536
147	265	1530
148	266	1523
149	267	1516
150	268	1510
151	269	1505
152	271	1500
153	272	1496
154	273	1489
155	274	1483
156	275	1476
157	275	1470
158	276	1463
159	277	1456
160	278	1449
161	279	1445
162	280	1439
163	281	1433
164	282	1427
165	282	1421
166	283	1415
167	284	1409
168	285	1403
169	286	1398
170	287	1393
171	288	1388
172	289	1383
173	290	1377
174	291	1372
175	291	1366
176	292	1362
177	293	1357
178	294	1352
179	295	1347
180	296	1342
181	297	1338
182	298	1333
183	299	1328
184	300	1322
185	301	1318
186	302	1313
187	303	1308
188	303	1303
189	304	1299
190	305	1294
191	306	1290
192	307	1285
193	308	1281
194	309	1277
195	310	1272
196	311	1268
197	311	1263
198	312	1259
199	313	1254
200	314	1250
201	315	1246
202	316	1241
203	317	1238
204	318	1233
205	319	1229
206	319	1225
207	320	1221
208	321	1217
209	322	1213
210	323	1209
211	324	1206
212	325	1202
213	326	1198
214	327	1194
215	328	1190
216	328	1186
217	329	1182
218	330	1178
219	331	1175
220	332	1172
221	333	1168
222	334	1164
223	335	1161
224	336	1157
225	336	1153
226	337	1150
227	338	1146
228	339	1143
229	340	1140
230	341	1136
231	342	1132
232	343	1129
233	343	1125
234	344	1122
235	345	1119
236	346	1116
237	347	1113
238	348	1110
239	349	1107
240	350	1103
241	351	1101
242	352	1097
243	353	1094
244	354	1091
245	355	1088
246	356	1085
247	356	1081
248	357	1078
249	358	1075
250	359	1071
251	360	1068
252	361	1066
253	362	1064
254	363	1061
255	364	1058
256	365	1055
257	366	1053
258	367	1050
259	368	1048
260	369	1045
261	370	1042
262	371	1039
263	371	1036
264	372	1033
265	373	1030
266	374	1027
267	375	1024
268	375	1021
269	376	1018
270	377	1016
271	378	1013
272	379	1010
273	380	1007
274	381	1005
275	382	1004
276	384	1002
277	385	1000
278	386	998
279	387	996
280	388	994
281	390	993
282	391	991
283	392	988
284	393	988
285	395	986
286	396	984
287	397	982
288	398	980
289	400	979
290	401	978
291	402	976
292	403	974
293	404	972
294	406	970
295	407	968
296	408	967
297	410	965
298	411	964
299	412	962
300	415	963
301	416	962
302	417	961
303	419	960
304	421	960
305	422	958
306	423	956
307	424	953
308	425	951
309	426	948
310	427	946
311	428	944
312	429	942
313	430	939
314	431	937
315	432	935
316	433	933
317	434	930
318	434	928
319	435	926
320	436	923
321	437	921
322	438	919
323	439	917
324	440	914
325	441	913
326	442	910
327	443	908
328	444	906
329	445	904
330	446	902
331	447	900
332	448	897
333	449	895
334	450	894
335	451	892
336	452	890
337	453	888
338	454	887
339	456	885
340	457	883
341	458	882
342	460	881
343	461	880
344	463	879
345	464	877
346	465	875
347	466	874
348	467	871
349	468	870
350	469	868
351	470	866
352	471	863
353	472	861
354	472	859
355	474	857
356	475	856
357	476	854
358	477	852
359	478	850
360	479	848
361	479	845
362	480	843
363	481	842
364	482	840
365	483	838
366	484	836
367	485	834
368	486	832
369	487	830
370	488	828
371	489	827
372	490	825
373	491	822
374	492	821
375	493	819
376	494	816
377	495	814
378	497	815
379	498	813
380	499	811
381	500	809
382	501	807
383	502	805
384	503	803
385	504	802
386	505	799
387	505	797
388	506	795
389	507	793
390	508	791
391	509	789
392	510	787
393	511	786
394	512	784
395	512	782
396	513	780
397	514	778
398	515	776
399	516	774
400	517	773
401	518	771
402	519	769
403	520	767
404	521	766
405	522	764
406	523	762
407	523	760
408	525	758
409	526	757
410	527	755
411	527	753
412	528	751
413	529	749
414	530	748
415	531	746
416	532	744
417	533	743
418	534	741
419	535	739
420	536	737
421	537	735
422	538	734
423	539	733
424	540	731
425	541	730
426	542	728
427	543	726
428	544	725
429	545	723
430	547	722
431	548	720
432	549	719
433	550	718
434	551	716
435	552	714
436	553	713
437	554	711
438	556	710
439	557	708
440	557	707
441	558	705
442	559	703
443	560	702
444	561	700
445	562	699
446	564	697
447	565	696
448	566	694
449	566	692
450	567	691
451	568	689
452	569	687
453	570	686
454	572	685
455	573	683
456	573	681
457	575	680
458	576	679
459	578	679
460	580	678
461	581	676
462	581	675
463	583	673
464	584	672
465	585	670
466	586	669
467	587	667
468	588	666
469	589	664
470	590	662
471	591	661
472	592	659
473	593	658
474	594	657
475	595	655
476	596	653
477	597	652
478	598	650
479	599	648
480	600	647
481	601	646
482	602	644
483	603	643
484	604	641
485	604	639
486	605	638
487	606	636
488	607	634
489	608	633
490	609	631
491	610	630
492	611	628
493	612	627
494	613	625
495	614	623
496	615	622
497	616	621
498	617	619
499	617	617
500	618	616
501	619	614
502	620	613
503	621	611
504	622	610
505	623	608
506	624	607
507	625	605
508	626	603
509	626	602
510	627	600
511	628	599
512	629	597
513	630	596
514	631	594
515	632	593
516	633	591
517	634	589
518	634	588
519	635	586
520	636	585
521	637	583
522	638	582
523	639	580
524	640	579
525	641	577
526	642	576
527	643	574
528	643	573
529	644	571
530	645	570
531	646	568
532	647	567
533	648	565
534	649	564
535	650	563
536	651	561
537	652	560
538	653	559
539	654	557
540	655	556
541	656	554
542	657	553
543	658	551
544	659	550
545	660	548
546	661	547
547	662	546
548	663	544
549	664	543
550	664	541
551	665	540
552	666	539
553	667	537
554	668	536
555	669	534
556	670	533
557	671	531
558	672	530
559	673	529
560	674	527
561	675	526
562	676	525
563	677	523
564	678	522
565	679	520
566	679	519
567	680	517
568	681	516
569	683	515
570	684	514
571	685	512
572	685	511
573	686	509
574	687	508
575	688	506
576	689	505
577	690	504
578	691	502
579	692	501
580	693	500
581	694	498
582	695	497
583	695	495
584	696	494
585	698	493
586	699	491
587	699	490
588	701	489
589	702	488
590	703	486
591	704	485
592	705	484
593	706	482
594	706	481
595	707	479
596	708	478
597	709	476
598	710	475
599	711	474
600	712	472
601	713	471
602	714	470
603	715	469
604	716	467
605	717	466
606	718	464
607	718	463
608	719	462
609	720	460
610	721	459
611	722	457
612	723	456
613	724	455
614	724	453
615	725	452
616	726	451
617	727	449
618	728	448
619	729	447
620	730	445
621	731	444
622	731	442
623	732	441
624	733	440
625	734	439
626	735	437
627	736	436
628	737	434
629	738	433
630	739	432
631	739	430
632	740	429
633	742	428
634	742	427
635	743	425
636	744	424
637	745	423
638	746	421
639	747	420
640	748	419
641	749	417
642	750	416
643	751	415
644	751	413
645	752	412
646	753	411
647	754	409
648	755	408
649	756	407
650	757	406
651	758	404
652	759	403
653	760	402
654	761	401
655	762	399
656	763	398
657	764	397
658	765	395
659	765	394
660	766	393
661	767	391
662	768	390
663	769	389
664	770	388
665	771	386
666	772	385
667	773	384
668	774	382
669	774	381
670	775	380
671	776	379
672	777	377
673	778	376
674	779	375
675	780	373
676	781	372
677	781	371
678	782	370
679	783	368
680	784	367
681	785	366
682	787	365
683	787	364
684	788	362
685	789	361
686	790	360
687	791	359
688	792	357
689	793	356
690	794	355
691	795	353
692	796	352
693	797	351
694	798	350
695	799	349
696	800	347
697	801	346
698	802	345
699	803	344
700	804	342
701	805	341
702	805	340
703	806	339
704	807	337
705	808	336
706	809	335
707	810	334
708	811	333
709	812	331
710	813	330
711	814	329
712	815	328
713	816	327
714	817	325
715	818	324
716	819	323
717	820	322
718	821	320
719	822	319
720	823	318
721	824	317
722	825	316
723	826	314
724	827	313
725	828	312
726	828	311
727	829	310
728	830	308
729	831	307
730	832	306
731	833	305
732	834	303
733	835	302
734	836	301
735	837	300
736	837	299
737	839	297
738	840	296
739	841	295
740	842	294
741	843	293
742	844	291
743	845	290
744	846	289
745	847	288
746	848	287
747	849	286
748	850	284
749	851	283
750	851	282
751	852	281
752	854	280
753	855	279
754	856	277
755	857	276
756	858	275
757	859	274
758	860	273
759	861	271
760	862	270
761	863	269
762	864	268
763	864	267
764	865	265
765	866	264
766	867	263
767	868	262
768	869	261
769	870	260
770	871	258
771	872	257
772	873	256
773	874	255
774	875	254
775	876	253
776	877	251
777	878	250
778	879	249
779	880	248
780	880	247
781	881	245
782	882	244
783	883	243
784	885	242
785	886	241
786	887	240
787	887	238
788	888	237
789	889	236
790	890	235
791	891	234
792	892	232
793	893	231
794	894	230
795	895	229
796	895	228
797	896	227
798	898	226
799	899	224
800	900	223
801	901	222
802	902	221
803	903	220
804	904	219
805	905	217
806	906	216
807	907	215
808	907	214
809	908	213
810	909	211
811	910	210
812	911	209
813	912	208
814	913	207
815	914	206
816	915	204
817	915	203
818	916	202
819	917	201
820	918	200
821	919	199
822	919	197
823	920	196
824	921	195
825	922	194
826	923	193
827	924	192
828	925	190
829	926	189
830	927	188
831	928	187
832	929	186
833	930	185
834	931	184
835	933	183
836	934	181
837	935	180
838	936	179
839	937	178
840	938	177
841	939	176
842	940	175
843	941	174
844	942	172
845	943	171
846	945	170
847	946	169
848	947	168
849	948	167
850	948	166
851	950	165
852	951	163
853	952	162
854	953	161
855	954	160
856	955	159
857	956	158
858	957	157
859	958	156
860	959	154
861	961	153
862	962	152
863	963	151
864	964	150
865	965	149
866	966	148
867	967	147
868	968	146
869	969	144
870	970	143
871	971	142
872	972	141
873	973	140
874	975	139
875	976	138
876	977	137
877	979	136
878	980	135
879	982	133
880	983	132
881	984	131
882	985	130
883	986	129
884	987	128
885	989	127
886	990	126
887	991	125
888	992	123
889	993	122
890	994	121
891	995	120
892	996	119
893	997	118
894	998	117
895	999	115
896	1000	114
897	1001	113
898	1001	112
899	1003	111
900	1004	110
901	1004	109
902	1005	108
903	1006	106
904	1007	105
905	1008	104
906	1009	103
907	1010	102
908	1011	101
909	1012	100
910	1013	99
911	1014	97
912	1015	96
913	1016	95
914	1017	94
915	1018	93
916	1019	92
917	1020	91
918	1021	90
919	1022	88
920	1023	87
921	1024	86
922	1024	85
923	1026	84
924	1027	83
925	1027	82
926	1028	81
927	1029	79
928	1030	78
929	1031	77
930	1032	76
931	1033	75
932	1034	74
933	1035	73
934	1035	72
935	1036	70
936	1037	69
937	1038	68
938	1039	67
939	1040	66
940	1041	65
941	1042	64
942	1043	63
943	1044	61
944	1045	60
945	1046	59
946	1047	58
947	1048	57
948	1049	56
949	1050	55
950	1051	54
951	1052	53
952	1052	51
953	1053	50
954	1054	49
955	1055	48
956	1056	47
957	1057	46
958	1058	45
959	1059	44
960	1060	43
961	1061	41
962	1062	40
963	1063	39
964	1064	38
965	1065	37
966	1066	36
967	1067	35
968	1068	34
969	1069	33
970	1071	31
971	1074	30
972	1075	29
973	1076	28
974	1077	27
975	1078	26
976	1079	25
977	1081	24
978	1082	23
979	1083	22
980	1084	21
981	1085	19
982	1087	18
983	1088	17
984	1089	16
985	1090	15
986	1091	14
987	1092	13
988	1093	12
989	1094	11
990	1095	9
991	1096	8
992	1097	7
993	1098	6
994	1099	5
995	1100	4
996	1101	3
997	1102	2
998	1103	1
999	1103	0
